date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:29	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Dec%202018%2002:17:30%20GMT	https://secure.freecrypt.org/robots.txt		(from )
20:17:30	9356/9356	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Sep%202018%2015:23:55%20GMT	https://secure.freecrypt.org/	C:/My%20Web%20Sites/encrypt/secure.freecrypt.org/index.html	(from )
20:17:30	6028/6028	---M-Z	200	added ('OK')	text/css	date:Sat,%2008%20Sep%202018%2004:53:19%20GMT	https://secure.freecrypt.org/assets/css/style.css	C:/My%20Web%20Sites/encrypt/secure.freecrypt.org/assets/css/style.css	(from https://secure.freecrypt.org/)
20:17:31	4343/4343	---M--	200	added ('OK')	image/png	etag:%22ef156862cd09694730f75a069ee3d8f3%22	https://s3-us-west-2.amazonaws.com/s.cdpn.io/210284/check_radio_sheet.png	C:/My%20Web%20Sites/encrypt/s3-us-west-2.amazonaws.com/s.cdpn.io/210284/check_radio_sheet.png	(from https://secure.freecrypt.org/)
20:17:32	13360/13360	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2006%20Nov%202013%2019:32:32%20GMT	https://secure.freecrypt.org/assets/js/aes.js	C:/My%20Web%20Sites/encrypt/secure.freecrypt.org/assets/js/aes.js	(from https://secure.freecrypt.org/)
20:17:32	191936/191936	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2003%20Sep%202018%2006:11:04%20GMT	https://secure.freecrypt.org/assets/js/crypto-js.js	C:/My%20Web%20Sites/encrypt/secure.freecrypt.org/assets/js/crypto-js.js	(from https://secure.freecrypt.org/)
20:17:32	1004/1004	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2003%20Sep%202018%2021:54:22%20GMT	https://secure.freecrypt.org/assets/js/serpent_cipherEnc.js	C:/My%20Web%20Sites/encrypt/secure.freecrypt.org/assets/js/serpent_cipherEnc.js	(from https://secure.freecrypt.org/)
20:17:32	5526/5526	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2003%20Sep%202018%2022:11:22%20GMT	https://secure.freecrypt.org/assets/js/pbkdf2.js	C:/My%20Web%20Sites/encrypt/secure.freecrypt.org/assets/js/pbkdf2.js	(from https://secure.freecrypt.org/)
20:17:33	93100/93100	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494f-16bac%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/My%20Web%20Sites/encrypt/cdnjs.cloudflare.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://secure.freecrypt.org/)
20:17:33	12416/12416	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Sep%202018%2000:17:02%20GMT	https://secure.freecrypt.org/assets/js/script.js	C:/My%20Web%20Sites/encrypt/secure.freecrypt.org/assets/js/script.js	(from https://secure.freecrypt.org/)
20:17:33	6144/6144	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Sep%202018%2016:14:26%20GMT	https://secure.freecrypt.org/assets/js/Blob.js	C:/My%20Web%20Sites/encrypt/secure.freecrypt.org/assets/js/Blob.js	(from https://secure.freecrypt.org/)
20:17:34	3613/3613	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2004%20Sep%202018%2018:58:20%20GMT	https://secure.freecrypt.org/assets/js/canvas-toBlob.js	C:/My%20Web%20Sites/encrypt/secure.freecrypt.org/assets/js/canvas-toBlob.js	(from https://secure.freecrypt.org/)
20:17:34	3257/3257	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Sep%202018%2016:14:42%20GMT	https://secure.freecrypt.org/assets/js/FileSaver.min.js	C:/My%20Web%20Sites/encrypt/secure.freecrypt.org/assets/js/FileSaver.min.js	(from https://secure.freecrypt.org/)
20:17:34	2370/2370	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Apr%202018%2021:11:40%20GMT	https://secure.freecrypt.org/assets/js/base64js.min.js	C:/My%20Web%20Sites/encrypt/secure.freecrypt.org/assets/js/base64js.min.js	(from https://secure.freecrypt.org/)
20:17:34	3611/3611	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2004%20Sep%202018%2020:02:40%20GMT	https://secure.freecrypt.org/assets/js/download2.js	C:/My%20Web%20Sites/encrypt/secure.freecrypt.org/assets/js/download2.js	(from https://secure.freecrypt.org/)
20:17:35	2978/2978	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2005%20Nov%202013%2001:22:38%20GMT	https://secure.freecrypt.org/assets/img/icons.svg	C:/My%20Web%20Sites/encrypt/secure.freecrypt.org/assets/img/icons.svg	(from https://secure.freecrypt.org/assets/css/style.css)
20:17:35	742/742	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Sep%202018%2020:36:18%20GMT	https://secure.freecrypt.org/assets/img/home-solid.svg	C:/My%20Web%20Sites/encrypt/secure.freecrypt.org/assets/img/home-solid.svg	(from https://secure.freecrypt.org/assets/css/style.css)
20:17:35	2101/2101	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Sep%202018%2004:51:42%20GMT	https://secure.freecrypt.org/v2_footer_bg.png	C:/My%20Web%20Sites/encrypt/secure.freecrypt.org/v2_footer_bg.png	(from https://secure.freecrypt.org/assets/css/style.css)
